experiment,config_id,map_name,method,pose_id,seed,true_x,true_y,true_theta,estimated_x,estimated_y,estimated_theta,best_fitness,position_error,theta_error,success,scan_error,feature_error,combined_error,scan_contribution,perception_contribution,runtime_seconds,population_size,generations,elite_size,tournament_size,crossover_rate,mutation_rate,sigma_xy,sigma_theta,fov_deg,num_beams,max_range_m,noise_std_m,angular_resolution_deg,perception_weight,final_best_history,final_mean_history,ea_overrides
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,4,0,6.6,3.0,3.141592653589793,6.621094480153444,2.953963922807798,3.1222105583877857,0.9995895190021842,0.05063889311774546,0.0193820952020074,True,0.0004199218750000007,0.0003890141638583355,0.0004106495616575011,0.0002939453125000005,0.00011670424915750065,21.263392124994425,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9995895190021842,0.9788755162145364,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,4,1,6.6,3.0,3.141592653589793,6.612096330943989,2.9815324100400056,3.1383422569765345,0.9999159407479966,0.022076528287685946,0.003250396613258655,True,1.464843749999999e-05,0.00024604137435089063,8.406631855526718e-05,1.0253906249999992e-05,7.381241230526719e-05,21.294244749995414,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9999159407479966,0.9772203452588891,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,4,2,6.6,3.0,3.141592653589793,6.624339410174226,2.998364607025898,-3.141486263840339,0.9999315232094157,0.024394290270655164,0.00010638974945464952,True,3.0381944444444447e-05,0.0001573803962174429,6.848147997634397e-05,2.126736111111111e-05,4.721411886523287e-05,21.50863979200949,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9999315232094157,0.9794184494220706,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,4,3,6.6,3.0,3.141592653589793,1.4943959236166742,2.877862727808128,0.016313981401083488,0.9966154287613617,5.107064763446857,3.12527867218871,False,0.0015370008680555527,0.00773388285497964,0.0033960654641327784,0.0010759006076388868,0.002320164856493892,21.631262875001994,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9966154287613617,0.9781969265620595,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,4,4,6.6,3.0,3.141592653589793,6.599592213085076,2.9726922129168973,3.1343878334466684,0.9999548792087588,0.027310831652369204,0.007204820143124735,True,1.4105902777777779e-05,0.00011749565091491905,4.512282721892016e-05,9.874131944444444e-06,3.5248695274475714e-05,21.250202124996576,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9999548792087588,0.9814150496197765,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,4,5,6.6,3.0,3.141592653589793,1.5442057751858,2.8643287815533234,0.006556648554587035,0.9968269006256361,5.057614252113285,3.135036005035206,False,0.0006879340277777768,0.009005487215993455,0.0031831999842424803,0.00048155381944444374,0.0027016461647980366,21.662886582998908,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9968269006256361,0.9799365321815734,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,4,6,6.6,3.0,3.141592653589793,6.629354928955607,2.967862068462825,3.1286140584773743,0.9998642410130242,0.0435265263658484,0.012978595112418834,True,4.937065972222227e-05,0.0003373931939172394,0.0001357774199807274,3.455946180555559e-05,0.0001012179581751718,21.17696662498929,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9998642410130242,0.9746846221362091,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,4,7,6.6,3.0,3.141592653589793,1.5156850223556975,2.868633237413105,0.009446202474287938,0.9964520087851528,5.086011798866647,3.132146451115505,False,0.0010069444444444416,0.009519210557985361,0.0035606242785067173,0.0007048611111111091,0.002855763167395608,21.579573583003366,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9964520087851528,0.975968240210629,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,4,8,6.6,3.0,3.141592653589793,6.635710618899233,2.997963587767269,-3.1180855555003353,0.9989138679807977,0.035768635380006894,0.023507098089457834,True,0.0005419921874999966,0.002359728177999726,0.0010873129846499154,0.00037939453124999757,0.0007079184533999177,21.41915870801313,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9985002242040967,0.980965105800746,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,4,9,6.6,3.0,3.141592653589793,6.597521414231275,2.987519758288664,3.136361572822552,0.9999775030762661,0.012723986033719716,0.005231080767241103,True,8.138020833333343e-06,5.600271757814912e-05,2.2497429856778073e-05,5.69661458333334e-06,1.6800815273444734e-05,21.619485750008607,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9999775030762661,0.9792875714754224,{'generations': 80}
experiment_4_parameter_tuning,sigma_xy_0_15,medium_room,perception_aware,0,0,2.0,2.2,0.0,5.896961645243275,2.6736535535101713,2.96730783647386,0.9915006554096057,3.9256410627119216,2.96730783647386,False,0.009144422743055524,0.007237022582862511,0.00857220269499762,0.006401095920138867,0.002171106774858753,11.898176874994533,100,40,3,3,0.9,0.8,0.15,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9915006554096057,0.9848762722136261,{'sigma_xy': 0.15}
experiment_4_parameter_tuning,sigma_xy_0_15,medium_room,perception_aware,0,1,2.0,2.2,0.0,2.0088851404136143,2.2348443040813817,0.007232776955340581,0.9995686765236309,0.035959299869233026,0.007232776955340636,True,6.456163194444413e-05,0.0012877215140905025,0.0004315095965882616,4.519314236111089e-05,0.00038631645422715073,11.591904916989733,100,40,3,3,0.9,0.8,0.15,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9995686765236309,0.9882330890400973,{'sigma_xy': 0.15}
experiment_4_parameter_tuning,sigma_xy_0_15,medium_room,perception_aware,0,2,2.0,2.2,0.0,1.9799927224280982,2.1858054733963774,0.01597317560012772,0.9995782589641048,0.024531117816766493,0.015973175600127565,True,3.526475694444426e-05,0.0013241121552675418,0.00042191897644137347,2.468532986111098e-05,0.0003972336465802625,11.65193750000617,100,40,3,3,0.9,0.8,0.15,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9995782589641048,0.9878666907545973,{'sigma_xy': 0.15}
experiment_4_parameter_tuning,sigma_xy_0_15,medium_room,perception_aware,0,3,2.0,2.2,0.0,5.799851886181448,2.613287796557443,2.9096498938568645,0.9914927839476911,3.822261262616674,2.909649893856864,False,0.00925672743055552,0.007001668496803692,0.00858020975042997,0.006479709201388863,0.0021005005490411077,12.03183325000282,100,40,3,3,0.9,0.8,0.15,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9914927839476911,0.9854816014744607,{'sigma_xy': 0.15}
experiment_4_parameter_tuning,sigma_xy_0_15,medium_room,perception_aware,0,4,2.0,2.2,0.0,5.859133814628358,2.641358874637163,2.980246492597434,0.9914352359510769,3.884290341288741,2.980246492597434,False,0.009087456597222189,0.007591777704617379,0.008638752929440746,0.006361219618055532,0.0022775333113852136,11.796668374998262,100,40,3,3,0.9,0.8,0.15,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9914352359510769,0.9851967649057536,{'sigma_xy': 0.15}
experiment_4_parameter_tuning,sigma_xy_0_15,medium_room,perception_aware,0,5,2.0,2.2,0.0,1.998598579106525,2.2097361348795586,-0.0007113951314310584,0.9996313110541319,0.00983647817634042,0.0007113951314310363,True,8.680555555555542e-06,0.0012091617955098481,0.00036882492754184326,6.076388888888879e-06,0.0003627485386529544,11.564306750005926,100,40,3,3,0.9,0.8,0.15,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9996313110541319,0.9865565126769447,{'sigma_xy': 0.15}
experiment_4_parameter_tuning,sigma_xy_0_15,medium_room,perception_aware,0,6,2.0,2.2,0.0,5.847205331113874,2.630986665586986,2.9731842597870664,0.991617551127766,3.8712708979952306,2.9731842597870664,False,0.009108072916666632,0.006925524183889112,0.008453308296833375,0.006375651041666642,0.0020776572551667333,11.852953875000821,100,40,3,3,0.9,0.8,0.15,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.991617551127766,0.9849956832625452,{'sigma_xy': 0.15}
experiment_4_parameter_tuning,sigma_xy_0_15,medium_room,perception_aware,0,7,2.0,2.2,0.0,1.9687190092654987,2.225306229456619,0.07276043899590201,0.9971152993872257,0.04023562638561738,0.07276043899590201,True,0.0032779947916666517,0.001994832769033236,0.002893046184876627,0.002294596354166656,0.0005984498307099708,11.914932624989888,100,40,3,3,0.9,0.8,0.15,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9971152993872257,0.9703342158218093,{'sigma_xy': 0.15}
experiment_4_parameter_tuning,sigma_xy_0_15,medium_room,perception_aware,0,8,2.0,2.2,0.0,5.743662116469836,2.5754746922809617,2.9371184996561124,0.9913730533412037,3.762444323419935,2.937118499656112,False,0.009729275173611067,0.006305086289211365,0.008702018508291156,0.006810492621527746,0.0018915258867634093,11.826827625001897,100,40,3,3,0.9,0.8,0.15,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9913730533412037,0.985703606168204,{'sigma_xy': 0.15}
experiment_4_parameter_tuning,sigma_xy_0_15,medium_room,perception_aware,0,9,2.0,2.2,0.0,5.849488508451987,2.6397280026515424,2.977670062414913,0.9916284923128704,3.874522227710124,2.977670062414913,False,0.009114040798611075,0.006874509717365147,0.008442181474237297,0.006379828559027753,0.002062352915209544,11.957357499995851,100,40,3,3,0.9,0.8,0.15,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9916284923128704,0.9852506581957268,{'sigma_xy': 0.15}
experiment_4_parameter_tuning,sigma_xy_0_15,medium_room,perception_aware,2,0,5.5,2.0,-0.8,5.491573327353042,1.986934246931766,-0.806317874427746,0.9995941281063746,0.015547434358731167,0.006317874427745895,True,8.680555555555547e-06,0.0013332010120592128,0.00040603669250665274,6.076388888888883e-06,0.00039996030361776384,11.830291708989535,100,40,3,3,0.9,0.8,0.15,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9995941281063746,0.9883905757394018,{'sigma_xy': 0.15}
experiment_4_parameter_tuning,sigma_xy_0_15,medium_room,perception_aware,2,1,5.5,2.0,-0.8,5.4701351585324565,2.000736117738845,-0.8028248332562613,0.9998571217250578,0.029873912117547485,0.002824833256261261,True,1.4648437499999959e-05,0.0004421492860361067,0.00014289869206083198,1.025390624999997e-05,0.000132644785810832,11.791123834002065,100,40,3,3,0.9,0.8,0.15,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9998571217250578,0.9880715553612227,{'sigma_xy': 0.15}
experiment_4_parameter_tuning,sigma_xy_0_15,medium_room,perception_aware,2,2,5.5,2.0,-0.8,4.036690850721408,3.9999631416485406,2.1245718198087964,0.9890246317131912,2.4781295838424464,2.924571819808796,False,0.011448567708333293,0.01027722116675084,0.011097163745858556,0.008013997395833304,0.003083166350025252,12.684299291999196,100,40,3,3,0.9,0.8,0.15,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9890246317131912,0.982074944777109,{'sigma_xy': 0.15}
experiment_4_parameter_tuning,sigma_xy_0_15,medium_room,perception_aware,2,3,5.5,2.0,-0.8,5.512467338811345,2.0232354921522386,-0.8037504362682913,0.9996064486976909,0.026368971018862635,0.0037504362682914127,True,3.0924479166666534e-05,0.001240197034994418,0.00039370624591499194,2.1647135416666573e-05,0.0003720591104983254,11.834452541006613,100,40,3,3,0.9,0.8,0.15,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9996064486976909,0.9876657546052396,{'sigma_xy': 0.15}
experiment_4_parameter_tuning,sigma_xy_0_15,medium_room,perception_aware,2,4,5.5,2.0,-0.8,4.009193158045646,3.996169809246634,2.118940055949949,0.9892567882137338,2.491425083634998,2.9189400559499488,False,0.01111328124999996,0.010268616404595532,0.010859881796378631,0.007779296874999972,0.0030805849213786595,12.274383625001065,100,40,3,3,0.9,0.8,0.15,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9892567882137338,0.9825547346914363,{'sigma_xy': 0.15}
